U 50
0 1 2.51162
0 2 5.01333
0 3 7.49525
0 4 9.9476
0 5 12.3607
0 6 14.725
0 7 17.0312
0 8 19.2701
0 9 21.4331
0 10 23.5114
0 11 25.497
0 12 27.3819
0 13 29.1587
0 14 30.8205
0 15 32.3607
0 16 33.7731
0 17 35.0523
0 18 36.1931
0 19 37.1911
0 20 38.0423
0 21 38.7433
0 22 39.2915
0 23 39.6846
0 24 39.9211
0 25 40
0 26 39.9211
0 27 39.6846
0 28 39.2915
0 29 38.7433
0 30 38.0423
0 31 37.1911
0 32 36.1931
0 33 35.0523
0 34 33.7731
0 35 32.3607
0 36 30.8205
0 37 29.1587
0 38 27.3819
0 39 25.497
0 40 23.5114
0 41 21.4331
0 42 19.2701
0 43 17.0312
0 44 14.725
0 45 12.3607
0 46 9.9476
0 47 7.49525
0 48 5.01333
0 49 2.51162
1 2 2.51162
1 3 5.01333
1 4 7.49525
1 5 9.9476
1 6 12.3607
1 7 14.725
1 8 17.0312
1 9 19.2701
1 10 21.4331
1 11 23.5114
1 12 25.497
1 13 27.3819
1 14 29.1587
1 15 30.8205
1 16 32.3607
1 17 33.7731
1 18 35.0523
1 19 36.1931
1 20 37.1911
1 21 38.0423
1 22 38.7433
1 23 39.2915
1 24 39.6846
1 25 39.9211
1 26 40
1 27 39.9211
1 28 39.6846
1 29 39.2915
1 30 38.7433
1 31 38.0423
1 32 37.1911
1 33 36.1931
1 34 35.0523
1 35 33.7731
1 36 32.3607
1 37 30.8205
1 38 29.1587
1 39 27.3819
1 40 25.497
1 41 23.5114
1 42 21.4331
1 43 19.2701
1 44 17.0312
1 45 14.725
1 46 12.3607
1 47 9.9476
1 48 7.49525
1 49 5.01333
2 3 2.51162
2 4 5.01333
2 5 7.49525
2 6 9.9476
2 7 12.3607
2 8 14.725
2 9 17.0312
2 10 19.2701
2 11 21.4331
2 12 23.5114
2 13 25.497
2 14 27.3819
2 15 29.1587
2 16 30.8205
2 17 32.3607
2 18 33.7731
2 19 35.0523
2 20 36.1931
2 21 37.1911
2 22 38.0423
2 23 38.7433
2 24 39.2915
2 25 39.6846
2 26 39.9211
2 27 40
2 28 39.9211
2 29 39.6846
2 30 39.2915
2 31 38.7433
2 32 38.0423
2 33 37.1911
2 34 36.1931
2 35 35.0523
2 36 33.7731
2 37 32.3607
2 38 30.8205
2 39 29.1587
2 40 27.3819
2 41 25.497
2 42 23.5114
2 43 21.4331
2 44 19.2701
2 45 17.0312
2 46 14.725
2 47 12.3607
2 48 9.9476
2 49 7.49525
3 4 2.51162
3 5 5.01333
3 6 7.49525
3 7 9.9476
3 8 12.3607
3 9 14.725
3 10 17.0312
3 11 19.2701
3 12 21.4331
3 13 23.5114
3 14 25.497
3 15 27.3819
3 16 29.1587
3 17 30.8205
3 18 32.3607
3 19 33.7731
3 20 35.0523
3 21 36.1931
3 22 37.1911
3 23 38.0423
3 24 38.7433
3 25 39.2915
3 26 39.6846
3 27 39.9211
3 28 40
3 29 39.9211
3 30 39.6846
3 31 39.2915
3 32 38.7433
3 33 38.0423
3 34 37.1911
3 35 36.1931
3 36 35.0523
3 37 33.7731
3 38 32.3607
3 39 30.8205
3 40 29.1587
3 41 27.3819
3 42 25.497
3 43 23.5114
3 44 21.4331
3 45 19.2701
3 46 17.0312
3 47 14.725
3 48 12.3607
3 49 9.9476
4 5 2.51162
4 6 5.01333
4 7 7.49525
4 8 9.9476
4 9 12.3607
4 10 14.725
4 11 17.0312
4 12 19.2701
4 13 21.4331
4 14 23.5114
4 15 25.497
4 16 27.3819
4 17 29.1587
4 18 30.8205
4 19 32.3607
4 20 33.7731
4 21 35.0523
4 22 36.1931
4 23 37.1911
4 24 38.0423
4 25 38.7433
4 26 39.2915
4 27 39.6846
4 28 39.9211
4 29 40
4 30 39.9211
4 31 39.6846
4 32 39.2915
4 33 38.7433
4 34 38.0423
4 35 37.1911
4 36 36.1931
4 37 35.0523
4 38 33.7731
4 39 32.3607
4 40 30.8205
4 41 29.1587
4 42 27.3819
4 43 25.497
4 44 23.5114
4 45 21.4331
4 46 19.2701
4 47 17.0312
4 48 14.725
4 49 12.3607
5 6 2.51162
5 7 5.01333
5 8 7.49525
5 9 9.9476
5 10 12.3607
5 11 14.725
5 12 17.0312
5 13 19.2701
5 14 21.4331
5 15 23.5114
