U 20
0 1 6.25738
0 2 12.3607
0 3 18.1596
0 4 23.5114
0 5 28.2843
0 6 32.3607
0 7 35.6403
0 8 38.0423
0 9 39.5075
0 10 40
0 11 39.5075
0 12 38.0423
0 13 35.6403
0 14 32.3607
0 15 28.2843
0 16 23.5114
0 17 18.1596
0 18 12.3607
0 19 6.25738
1 2 6.25738
1 3 12.3607
1 4 18.1596
1 5 23.5114
1 6 28.2843
1 7 32.3607
1 8 35.6403
1 9 38.0423
1 10 39.5075
1 11 40
1 12 39.5075
1 13 38.0423
1 14 35.6403
1 15 32.3607
1 16 28.2843
1 17 23.5114
1 18 18.1596
1 19 12.3607
2 3 6.25738
2 4 12.3607
2 5 18.1596
2 6 23.5114
2 7 28.2843
2 8 32.3607
2 9 35.6403
2 10 38.0423
2 11 39.5075
2 12 40
2 13 39.5075
2 14 38.0423
2 15 35.6403
2 16 32.3607
2 17 28.2843
2 18 23.5114
2 19 18.1596
3 4 6.25738
3 5 12.3607
3 6 18.1596
3 7 23.5114
3 8 28.2843
3 9 32.3607
3 10 35.6403
3 11 38.0423
3 12 39.5075
3 13 40
3 14 39.5075
3 15 38.0423
3 16 35.6403
3 17 32.3607
3 18 28.2843
3 19 23.5114
4 5 6.25738
4 6 12.3607
4 7 18.1596
4 8 23.5114
4 9 28.2843
4 10 32.3607
4 11 35.6403
4 12 38.0423
4 13 39.5075
4 14 40
4 15 39.5075
4 16 38.0423
4 17 35.6403
4 18 32.3607
4 19 28.2843
5 6 6.25738
5 7 12.3607
5 8 18.1596
5 9 23.5114
5 10 28.2843
5 11 32.3607
5 12 35.6403
5 13 38.0423
5 14 39.5075
5 15 40
5 16 39.5075
5 17 38.0423
5 18 35.6403
5 19 32.3607
6 7 6.25738
6 8 12.3607
6 9 18.1596
6 10 23.5114
6 11 28.2843
6 12 32.3607
6 13 35.6403
6 14 38.0423
6 15 39.5075
6 16 40
6 17 39.5075
6 18 38.0423
6 19 35.6403
7 8 6.25738
7 9 12.3607
7 10 18.1596
7 11 23.5114
7 12 28.2843
7 13 32.3607
7 14 35.6403
7 15 38.0423
7 16 39.5075
7 17 40
7 18 39.5075
7 19 38.0423
8 9 6.25738
8 10 12.3607
8 11 18.1596
8 12 23.5114
8 13 28.2843
8 14 32.3607
8 15 35.6403
8 16 38.0423
8 17 39.5075
8 18 40
8 19 39.5075
9 10 6.25738
9 11 12.3607
9 12 18.1596
9 13 23.5114
9 14 28.2843
9 15 32.3607
9 16 35.6403
9 17 38.0423
9 18 39.5075
9 19 40
10 11 6.25738
10 12 12.3607
10 13 18.1596
10 14 23.5114
10 15 28.2843
10 16 32.3607
10 17 35.6403
10 18 38.0423
10 19 39.5075
11 12 6.25738
11 13 12.3607
11 14 18.1596
11 15 23.5114
11 16 28.2843
11 17 32.3607
11 18 35.6403
11 19 38.0423
12 13 6.25738
12 14 12.3607
12 15 18.1596
12 16 23.5114
12 17 28.2843
12 18 32.3607
12 19 35.6403
13 14 6.25738
13 15 12.3607
13 16 18.1596
13 17 23.5114
13 18 28.2843
13 19 32.3607
14 15 6.25738
14 16 12.3607
14 17 18.1596
14 18 23.5114
14 19 28.2843
15 16 6.25738
15 17 12.3607
15 18 18.1596
15 19 23.5114
16 17 6.25738
16 18 12.3607
16 19 18.1596
17 18 6.25738
17 19 12.3607
18 19 6.25738
