U 40
0 1 3.13836
0 2 6.25738
0 3 9.33781
0 4 12.3607
0 5 15.3073
0 6 18.1596
0 7 20.8999
0 8 23.5114
0 9 25.9779
0 10 28.2843
0 11 30.4162
0 12 32.3607
0 13 34.1056
0 14 35.6403
0 15 36.9552
0 16 38.0423
0 17 38.8948
0 18 39.5075
0 19 39.8767
0 20 40
0 21 39.8767
0 22 39.5075
0 23 38.8948
0 24 38.0423
0 25 36.9552
0 26 35.6403
0 27 34.1056
0 28 32.3607
0 29 30.4162
0 30 28.2843
0 31 25.9779
0 32 23.5114
0 33 20.8999
0 34 18.1596
0 35 15.3073
0 36 12.3607
0 37 9.33781
0 38 6.25738
0 39 3.13836
1 2 3.13836
1 3 6.25738
1 4 9.33781
1 5 12.3607
1 6 15.3073
1 7 18.1596
1 8 20.8999
1 9 23.5114
1 10 25.9779
1 11 28.2843
1 12 30.4162
1 13 32.3607
1 14 34.1056
1 15 35.6403
1 16 36.9552
1 17 38.0423
1 18 38.8948
1 19 39.5075
1 20 39.8767
1 21 40
1 22 39.8767
1 23 39.5075
1 24 38.8948
1 25 38.0423
1 26 36.9552
1 27 35.6403
1 28 34.1056
1 29 32.3607
1 30 30.4162
1 31 28.2843
1 32 25.9779
1 33 23.5114
1 34 20.8999
1 35 18.1596
1 36 15.3073
1 37 12.3607
1 38 9.33781
1 39 6.25738
2 3 3.13836
2 4 6.25738
2 5 9.33781
2 6 12.3607
2 7 15.3073
2 8 18.1596
2 9 20.8999
2 10 23.5114
2 11 25.9779
2 12 28.2843
2 13 30.4162
2 14 32.3607
2 15 34.1056
2 16 35.6403
2 17 36.9552
2 18 38.0423
2 19 38.8948
2 20 39.5075
2 21 39.8767
2 22 40
2 23 39.8767
2 24 39.5075
2 25 38.8948
2 26 38.0423
2 27 36.9552
2 28 35.6403
2 29 34.1056
2 30 32.3607
2 31 30.4162
2 32 28.2843
2 33 25.9779
2 34 23.5114
2 35 20.8999
2 36 18.1596
2 37 15.3073
2 38 12.3607
2 39 9.33781
3 4 3.13836
3 5 6.25738
3 6 9.33781
3 7 12.3607
3 8 15.3073
